1980	-0.28	1.74	-0.35	1.96	-0.28	-0.86	-0.42	-1.99	-0.05	2.45	1.35	-0.27
1981	2.42	0.38	1.6	-1.02	1.98	-0.2	-0.64	-1.5	0.15	-1.45	1.26	-0.12
1982	-0.86	-0.68	-1.4	-1.89	-0.7	1.93	0.97	0.34	1.05	-0.93	-0.48	0.75
1983	1.18	1.3	2.38	1.26	-0.19	1.87	1.33	0.53	-1.59	0.09	1.84	-0.31
1984	0.97	0.77	1.41	1.7	0.32	-0.44	-2.34	-1.11	0.03	-0.63	0.42	-1.6
1985	1.63	-0.52	-0.92	-1.06	-1.03	1.1	0.25	-0.5	-0.71	-1.51	-1.9	1.39
1986	0.97	0.53	0.83	0.09	-0.13	0.26	0.07	-1.45	-0.29	0.92	-0.73	1.37
1987	1	0.65	1.17	1.83	-1.26	0.42	-0.01	0.77	-3.07	0.53	1.26	0.8
1988	0.53	1.25	0.69	1.4	0.6	1.13	2.16	-0.59	-1.11	0.66	0.13	0.63
1989	-0.72	-1.06	-1.3	-0.54	-0.14	-0.63	-0.18	-0.24	0.54	-1.13	-0.72	0.87
1990	-0.34	-1.86	0.34	-0.39	0.21	-1.41	0.17	1.79	-0.5	-0.97	-1.73	-1.32
1991	0.66	1.07	-0.94	0.64	-0.81	-0.97	0.75	-0.25	1.43	-2.28	0.24	0.47
1992	1.28	0.29	0.77	-0.05	1.27	1.17	0.85	-0.34	-1.31	0.21	0.85	-1.23
1993	-0.65	0.55	1.27	1.54	2.66	0.52	0.15	-0.14	-1.12	-0.3	-0.36	0.72
1994	-0.12	-0.73	0.54	-0.47	0.45	-1.38	0.38	-1.34	-2.38	-0.23	-1.67	0.69
1995	0.66	0.73	0.33	0.29	0.01	0.74	-0.34	-0.3	1.52	-0.05	-0.75	0.92
1996	-0.02	-0.3	-0.47	0.77	0.32	-1.21	0.64	-0.9	-0.28	-0.76	-0.45	-1.23
1997	0.63	0.56	-1.3	0.55	0.78	-0.34	0.56	-0.52	0.31	-0.26	0.91	1.16
1998	0.74	0.89	1.01	1.12	-2.22	-0.02	2.24	-0.57	0.55	0.55	0.74	-0.09
1999	0.16	-0.12	0.69	0.3	-0.15	0.3	-0.54	1.97	0.44	0.41	0.48	0.21
2000	-0.82	1.12	1.28	-0.35	-0.28	-1.22	-2.28	-0.48	-1.4	0.25	0.74	1.23
2001	1.51	-0.16	0.7	-0.47	-0.11	-0.94	0.06	-0.11	0.1	-0.22	1.09	0.56
2002	-0.04	0.14	-1.3	-2.22	-0.73	-0.05	0.88	0.64	0.77	-0.65	1.54	1.59
2003	1.29	0.73	-0.07	0.14	-2.2	-0.6	1.23	-0.28	0.76	0.97	-1.72	0.86
2004	0.41	1.06	0.3	0.51	-1.76	-0.37	0.09	1.55	-0.08	-1.39	0.31	0.26
2005	0.02	0.14	0.88	1.28	1.74	0.29	0.43	0.72	1.63	0.9	-0.76	1.38
2006	0.43	-0.11	-0.27	0.45	-1.27	-1.06	1.83	-1.41	0.42	-0.84	-1.39	1.86
2007	0.72	-0.09	0.18	1.25	-0.06	-0.38	2.21	1.98	1.88	0.55	0.69	0.14
2008	-0.32	0.5	-0.32	-0.97	1.33	-1.75	-0.1	0.92	1.12	0.86	1.11	-1.41
2009	0.61	-0.95	-1.02	0.21	-0.58	0.35	1.22	0.65	1.29	0.43	0.21	0.34
2010	1.25	0.58	2.02	1.54	-0.93	-0.2	1.4	1.1	1.34	1.8	-0.84	-1.78
2011	1.29	-1.58	0.69	-1.59	0.19	0.22	-0.35	1.42	-0.42	0.63	-0.79	0.36
2012	0.6	0.75	0.11	0.15	-0.42	-0.5	-0.16	-0.17	-0.42	-1.18	-1.1	-1.01
2013	0.55	0.45	0.04	-1.56	-0.36	-0.43	-0.31	-0.03	0.54	-0.34	-1.18	-0.86
2014	0.97	-0.95	-0.21	0.25	-0.76	-1.46	0.99	1.37	0.99	0.89	0.68	0.67
2015	0.61	0.59	-0.23	-0.15	-0.16	-0.17	0.76	0.08	-0.92	1.78	-0.19	0.78
2016	2.02	1.48	0.73	0.87	-1.06	-0.7	1.02	-0.88	0.18	1.24	1.52	-0.35
2017	0.28	0.18	0.27	0.4	-0.31	1.01	1.86	0.23	-0.33	-0.4	-2.06	0.89
2018	0.4	-1.03	-0.89	-0.91	-1.34	0.51	-0.37	1.27	1.44	0.21	0.24	0.86
2019	0.83	-1.08	0.25	-0.61	-0.29	0.12	1.11	1.18	2	-1.02	-0.06	0.18
2020	-0.24	0.17	-2.17	-1.18	0.21	0.7	1.73	1.82	0.75			
